Mucor piriformis	GCA_943193625.1	ERR9709334	4
Flammulina velutipes	GCA_945909995.1	ERR9871427	4
Pleurotus ostreatus	GCA_947034855.1	ERR9630947,ERR9630946 	4
Agaricus bisporus	GCA_943193715.1	ERR9630948	4
