Macropis europaea	GCA_916610135.1	ERR6939238	5
Seladonia tumulorum	GCA_913789895.1	ERR6807989	5
Sphecodes monilicornis	GCA_913789915.1	ERR6939223	5
Tenthredo notha	GCA_914767705.1	ERR6939232	5
Vespa crabro	GCA_910589235.1	ERR6406214,ERR6608658,ERR6608657	5
Vespula germanica	GCA_905340365.1	ERR6635596	5
Vespula vulgaris	GCA_905475345.1	ERR6635597	5
Diadumene lineata	GCA_918843875.1	ERR6808024	4
Aplidium turbinatum	GCA_918807975.1	ERR6412043,ERR6412042	13
Canis lupus	GCA_905319855.2	ERR6412029	2
Cervus elaphus	GCA_910594005.1	ERR6406213	2
Rattus norvegicus	GCA_015227675.2	ERR5310327	2
Lineus longissimus	GCA_910592395.1	ERR6412039	5
Gari tellinella	GCA_922989275.1	ERR7123970	5
Patella pellucida	GCA_917208275.1	ERR6412040	5
Steromphala cineraria	GCA_916613615.1	ERR6939217,ERR6939216	5
Clusia tigrina	GCA_920105625.1	ERR6939254,ERR6907893	5
Criorhina berberina	GCA_917880715.1	ERR6436386	5
Eupeodes latifasciatus	GCA_920104205.1	ERR6939266,ERR6808042	5
Platycheirus albimanus	GCA_916050605.1	ERR6606792,ERR6606791	5
Scaeva pyrastri	GCA_905146935.1	ERR7057610,ERR7057609 	5
Syritta pipiens	GCA_905187475.1	ERR6608651	5
Thecocarcelia acutangulata	GCA_914767995.1	ERR6939229,ERR6939228	5
Volucella inanis	GCA_907269105.1	ERR6406209	5
Xylota sylvarum	GCA_905220385.1	ERR6635595	5
Limnephilus lunatus	GCA_917563855.1	ERR6939235,ERR6907853	5
Limnephilus marmoratus	GCA_917880885.1	ERR6939236,ERR6807999	5
Acleris sparsana	GCA_923062465.1	ERR6808046	5
Agonopterix subpropinquella	GCA_922987775.1	ERR6939284,ERR6808069 	5
Agriopis aurantiaria	GCA_914767915.1	ERR6939239,ERR6808000	5
Agrochola circellaris	GCA_914767755.1	ERR6808001	5
Agrochola macilenta	GCA_916701695.1	ERR6808008	5
Amphipyra tragopoginis	GCA_905220435.1	ERR7254633,ERR6544654 	5
Anthocharis cardamines	GCA_905404175.1	ERR6544655	5
Apamea monoglypha	GCA_911387795.1	ERR6436385	5
Aplocera efformata	GCA_921293045.1	ERR6939267	5
Apotomis turbidana	GCA_905147355.1	ERR6436363	5
Aricia agestis	GCA_905147365.1	ERR9763977,ERR6544653	5
Atethmia centrago	GCA_905333075.2	ERR6548405,ERR6548404	5
Autographa pulchrina	GCA_905475315.1	ERR6412366	5
Bembecia ichneumoniformis	GCA_910589475.1	ERR6454729	5
Blastobasis adustella	GCA_907269095.1	ERR6548409	5
Blastobasis lacticolella	GCA_905147135.1	ERR6548403	5
Campaea margaritaria	GCA_912999815.1	ERR6939214	5
Carcina quercana	GCA_910589575.1	ERR6394586	5
Chrysoteuchia culmella	GCA_910589605.1	ERR6406210	5
Clostera curtula	GCA_905475355.1	ERR6412033	5
Craniophora ligustri	GCA_905163465.1	ERR6560794	5
Crocallis elinguaria	GCA_907269065.1	ERR6807986	5
Cyaniris semiargus	GCA_905187585.1	ERR6560795	5
Cydia splendana	GCA_910591565.1	ERR6454730	5
Dryobotodes eremita	GCA_917490735.1	ERR6808003	5
Eilema depressum	GCA_914767945.1	ERR6939233	5
Eilema sororcula	GCA_914829495.1	ERR6939231	5
Emmelina monodactyla	GCA_916618145.1	ERR6808006	5
Endotricha flammealis	GCA_905163395.1	ERR6560796	5
